,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
132,los,3D,0.361803,0.53786,3810.79,28.29788,12.51375,1.48661,,,,194.838
133,lta,3D,0.300124,0.62586,3560.8,41.90047,18.49817,2.08534,,,,188.476
134,ltj,3D,0.407668,0.49636,3476.75,19.11877,14.09262,1.21756,,,,180.439
135,mdf,3D,0.982859,0.03886,676.892,8.78876,4.54286,0.0395377,,,,164.694
136,mer,3D,0.332779,0.5864,3497.01,32.52076,18.53095,1.76213,,,,195.73
137,mmt,3D,0.468231,0.38536,3937.76,14.07353,9.76844,0.823013,,,,209.121
138,mok,3D,0.708001,0.19092,2353.89,10.76028,6.43934,0.269661,,,,189.925
139,mon,3D,0.418764,0.48522,3341.91,20.34758,14.81664,1.1587,,,,177.676
140,neb,3D,0.476346,0.37256,3972.27,13.78973,8.88099,0.782121,,,,209.572
141,noq,3D,0.380296,0.50332,3916.47,21.6046,16.60505,1.3235,,,,205.498
142,not,3D,0.678242,0.24818,2312.79,12.52987,7.46207,0.365916,,,,153.128
143,npo,3D,0.324863,0.58132,4054.1,27.60349,22.18468,1.78943,,,,199.443
144,npoa,3D,0.262707,0.7056,2821.09,46.82389,44.27094,2.68588,,,,147.698
145,ntn,3D,0.457541,0.43102,3384.86,17.76504,12.51408,0.942036,,,,181.153
146,off,3D,0.324273,0.59532,3519.9,30.73434,25.07701,1.83586,,,,199.399
147,omy,3D,0.353653,0.5786,3307.51,23.59857,17.40812,1.63607,,,,156.346
148,pcb,3D,0.398192,0.50958,3422.75,19.8681,15.01378,1.27973,,,,168.605
