Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
bel,3D,0.305,0.637,3909.32,25.015,20.394,2.088,53.599,8.191,Calculated,-1.166
bik,3D,0.503,0.434,3412.71,18.135,13.848,0.861,37.326,8.233,Calculated,-18.206
bnl,3D,0.597,0.388,2588.19,18.011,11.658,0.649,27.751,8.184,Calculated,-29.088
byl,3D,0.56,0.385,3209.46,14.363,9.398,0.687,34.736,8.177,Calculated,-20.97
cag,3D,0.813,0.196,2012.71,10.394,7.483,0.24,21.577,8.177,Calculated,-35.951
can,3D,0.289,0.638,4560.69,28.537,25.104,2.207,83.397,8.205,Calculated,27.157
cbn,3D,0.409,0.514,4253.01,17.66,12.77,1.259,53.281,8.212,Calculated,-3.969
cbo,3D,0.498,0.455,3281.05,17.781,10.734,0.915,33.578,8.205,Calculated,-21.128
cbt,3D,0.434,0.523,3309.97,20.962,15.729,1.204,35.35,8.177,Calculated,-18.567
cda,3D,0.416,0.486,4452.36,18.111,12.229,1.171,77.669,8.191,Calculated,24.403
cdp,3D,0.56,0.376,3309.04,15.802,10.22,0.672,30.354,8.248,Calculated,-20.092
cea,3D,0.458,0.512,2925.04,23.082,19.007,1.118,34.654,8.17,Calculated,-23.478
cena,3D,0.253,0.704,3939.83,41.853,23.03,2.784,60.183,8.191,Calculated,3.674
cfc,3D,0.581,0.379,2849,16.844,10.945,0.653,58.722,8.226,Calculated,-1.009
cgs,3D,0.316,0.634,3740.23,30.433,24.039,2.007,51.406,8.212,Calculated,-5.46
cnw,3D,0.541,0.403,3165.95,15.85,11.866,0.745,36.558,8.233,Calculated,-21.312
coe,3D,0.588,0.321,3345.97,12.227,9.075,0.546,47.372,8.184,Calculated,-9.923
coi,3D,1.112,0.059,754.839,9.046,4.085,0.053,12.901,8.198,Calculated,-49.216
crb,3D,0.432,0.494,4016.94,15.213,12.967,1.145,47.413,8.191,Calculated,-8.671
crba,3D,0.286,0.706,3058.59,34.059,29.404,2.465,34.532,8.191,Calculated,-23.753
cua,3D,0.408,0.583,2562.94,27.193,21.325,1.429,30.569,8.219,Calculated,-28.447
cus,3D,0.743,0.268,2078.26,13.17,9.304,0.361,21.069,8.212,Calculated,-34.045
dei,3D,0.351,0.648,2464.34,29.652,23.538,1.847,31.972,8.198,Calculated,-27.41
dft,3D,0.348,0.584,4150.17,19.88,16.477,1.678,59.002,8.233,Calculated,1.339
dia,3D,0.638,0.315,2939.31,11.921,8.156,0.493,32.782,8.177,Calculated,-26.244
diaa,3D,0.315,0.676,3017.22,32.08,22.29,2.145,35.275,8.24,Calculated,-24.725
dmp,3D,1.035,0.097,1035.84,9.262,6.691,0.093,14.255,8.234,Calculated,-46.64
doh,3D,0.331,0.593,4428.33,31.946,12.84,1.793,62.445,8.212,Calculated,5.667
edi,3D,0.321,0.62,3909.94,22.335,17.28,1.932,52.312,8.283,Calculated,2.066
fel,3D,0.37,0.568,3739.3,21.895,15.892,1.536,55.013,8.24,Calculated,-2.446
fte,3D,0.412,0.564,2931.06,27.316,24.525,1.37,32.642,8.191,Calculated,-22.928
ftk,3D,0.384,0.588,2989.63,35.826,34.356,1.531,35.44,8.177,Calculated,-22.395
ftl,3D,0.169,0.816,3404.46,54.759,38.37,4.838,44.338,8.241,Calculated,-11.004
