Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
eab,3D,0.250,0.700,4334.700,35.626,23.463,2.804,,,,132.651
edp,3D,0.287,0.693,3351.680,30.919,20.529,2.417,,,,83.179
eri,3D,0.281,0.673,4001.050,33.049,21.164,2.396,,,,107.644
eyea,3D,0.230,0.745,3689.380,59.749,38.335,3.234,,,,91.271
flua,3D,0.321,0.676,2941.600,34.038,17.975,2.107,,,,65.736
fsia,3D,0.243,0.750,3115.680,42.483,31.925,3.089,,,,75.266
ftc,3D,0.279,0.672,4041.090,35.741,23.166,2.410,,,,114.937
ftf,3D,0.302,0.643,4092.720,38.543,35.725,2.130,,,,114.298
ftg,3D,0.222,0.758,3437.510,61.524,60.086,3.418,,,,92.711
fth,3D,0.261,0.713,3461.390,46.519,19.613,2.736,,,,92.429
fti,3D,0.303,0.666,3452.180,37.433,34.696,2.195,,,,86.168
ftj,3D,0.269,0.682,4076.910,34.975,23.131,2.534,,,,112.697
ftm,3D,0.138,0.858,3224.460,#N/A,#N/A,6.204,,,,82.008
ftr,3D,0.234,0.768,2759.240,53.730,28.286,3.279,,,,67.791
ftv,3D,0.261,0.738,2837.660,46.639,25.768,2.822,,,,68.649
ftwt,3D,0.378,0.622,2757.450,#N/A,#N/A,1.643,,,,70.654
fty,3D,0.277,0.725,2579.470,62.485,39.120,2.618,,,,63.97
ftz,3D,0.267,0.732,2566.620,54.417,29.460,2.742,,,,73.185
fua,3D,0.258,0.705,3783.090,35.026,25.598,2.732,,,,104.402
fub,3D,0.223,0.773,2873.380,68.126,31.152,3.462,,,,69.795
fue,3D,0.272,0.709,3141.820,54.056,31.622,2.604,,,,79.055
fuf,3D,0.248,0.728,3362.820,44.729,31.156,2.940,,,,91.475
fug,3D,0.328,0.660,2912.420,51.672,18.013,2.013,,,,71.282
fuh,3D,0.266,0.711,3282.630,52.366,21.829,2.675,,,,87.099
fuj,3D,0.284,0.693,3318.880,44.445,29.231,2.438,,,,89.701
ful,3D,0.338,0.651,2879.650,39.530,27.786,1.926,,,,73.63
fun,3D,0.269,0.692,3755.270,38.023,22.480,2.574,,,,100.305
fuo,3D,0.318,0.644,3538.560,33.216,21.006,2.025,,,,90.104
fur,3D,0.292,0.676,3567.040,29.476,23.057,2.316,,,,90.289
fus,3D,0.267,0.698,3772.450,39.560,21.091,2.613,,,,94.915
fut,3D,0.292,0.696,3064.090,51.427,17.454,2.382,,,,70.179
fuu,3D,0.346,0.629,3323.980,29.187,19.715,1.816,,,,75.182
fuy,3D,0.314,0.666,3067.300,40.937,29.758,2.120,,,,88.792
fuz,3D,0.322,0.631,3764.290,35.950,17.291,1.958,,,,95.086
fva,3D,0.265,0.681,4289.610,37.173,24.103,2.569,,,,131.409
fvc,3D,0.281,0.671,4142.930,35.790,21.516,2.383,,,,110.729
fvd,3D,0.281,0.675,4032.400,35.105,21.499,2.405,,,,107.308
fvf,3D,0.311,0.665,3478.090,45.671,12.527,2.142,,,,80.37
fvh,3D,0.260,0.695,4142.810,49.269,15.868,2.670,,,,119.557
fvi,3D,0.267,0.690,4129.170,48.075,15.939,2.586,,,,119.093
fvj,3D,0.286,0.677,3901.730,33.452,20.652,2.372,,,,113.822
fvl,3D,0.274,0.687,3904.450,35.215,20.778,2.505,,,,98.414
fvm,3D,0.274,0.687,3951.190,41.295,34.452,2.508,,,,98.742
fvo,3D,0.309,0.636,4156.080,26.851,14.847,2.058,,,,110.411
fvq,3D,0.341,0.606,3901.070,35.336,14.433,1.774,,,,101.698
fvr,3D,0.321,0.626,4062.220,25.755,14.281,1.951,,,,105.539
fvs,3D,0.339,0.615,3894.850,28.174,13.470,1.813,,,,89.655
fvt,3D,0.282,0.662,4371.880,30.471,21.628,2.345,,,,150.571
fvv,3D,0.433,0.520,3491.220,25.035,12.447,1.201,,,,86.676
fwz,3D,0.230,0.736,3848.470,55.472,53.491,3.205,,,,101.861
gcd,3D,0.168,0.822,3223.160,88.410,86.576,4.895,,,,101.099
gie,3D,0.369,0.607,3129.130,29.675,19.909,1.646,,,,84.676
hal,3D,0.349,0.630,3233.850,35.298,16.853,1.805,,,,72.875
heaa,3D,0.263,0.726,3127.790,34.613,25.712,2.761,,,,78.601
ict,3D,0.480,0.433,4085.050,17.465,12.871,0.902,,,,112.364
isa,3D,0.374,0.575,3756.120,24.889,13.592,1.538,,,,82.128
ise,3D,0.305,0.637,4323.810,26.289,14.329,2.087,,,,121.547
